央视卫视(IPV4),#genre#
CCTV17,http://61.156.228.12:8154/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://183.136.148.214:9901/tsfile/live/0107_1.m3u8?key=txiptv
湖南卫视,http://183.136.148.214:9901/tsfile/live/0128_1.m3u8?key=txiptv
安徽卫视,http://183.136.148.214:9901/tsfile/live/0130_1.m3u8?key=txiptv
贵州卫视,http://183.136.148.214:9901/tsfile/live/0120_1.m3u8?key=txiptv
天津卫视,http://183.136.148.214:9901/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://183.136.148.214:9901/tsfile/live/0142_1.m3u8?key=txiptv
江苏卫视,http://183.136.148.214:9901/tsfile/live/0127_1.m3u8?key=txiptv
云南卫视,http://183.136.148.214:9901/tsfile/live/0119_1.m3u8?key=txiptv
吉林卫视,http://183.136.148.214:9901/tsfile/live/0116_1.m3u8?key=txiptv
东南卫视,http://183.136.148.214:9901/tsfile/live/0137_1.m3u8?key=txiptv
广东卫视,http://183.136.148.214:9901/tsfile/live/0125_1.m3u8?key=txiptv
河北卫视,http://183.136.148.214:9901/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://183.136.148.214:9901/tsfile/live/0143_1.m3u8?key=txiptv
山东卫视,http://183.136.148.214:9901/tsfile/live/0131_1.m3u8?key=txiptv
北京卫视,http://183.136.148.214:9901/tsfile/live/0122_1.m3u8?key=txiptv
辽宁卫视,http://183.136.148.214:9901/tsfile/live/0121_1.m3u8?key=txiptv
江西卫视,http://183.136.148.214:9901/tsfile/live/0138_1.m3u8?key=txiptv
四川卫视,http://183.136.148.214:9901/tsfile/live/0140_1.m3u8?key=txiptv
陕西卫视,http://183.136.148.214:9901/tsfile/live/0136_1.m3u8?key=txiptv
湖北卫视,http://183.136.148.214:9901/tsfile/live/0118_1.m3u8?key=txiptv
山西卫视,http://183.136.148.214:9901/tsfile/live/0112_1.m3u8?key=txiptv
宁夏卫视,http://183.136.148.214:9901/tsfile/live/0139_1.m3u8?key=txiptv
